City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Bandarbeyla,SO,75.9,clear sky,9.4942,50.8122,
312,Maues,BR,74.71,light rain,-3.3836,-57.7186,
313,Pechenga,RU,31.06,overcast clouds,69.5259,31.1703,
314,Auki,SB,86.2,overcast clouds,-8.7676,160.7034,
315,Bumba,CD,73.0,scattered clouds,2.1833,22.4667,
316,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,
317,Rosarito,MX,59.95,clear sky,32.3333,-117.0333,
318,Plettenberg Bay,ZA,65.23,light rain,-34.0527,23.3716,
319,Katsuura,JP,53.71,broken clouds,35.1333,140.3,
320,Bac Lieu,VN,77.31,broken clouds,9.285,105.7244,
321,Capaci,IT,50.25,scattered clouds,38.1711,13.2393,
322,Tigil,RU,21.52,overcast clouds,57.8,158.6667,
323,Kijang,KR,36.9,clear sky,35.2442,129.2139,
324,Tual,ID,83.88,overcast clouds,-5.6667,132.75,
325,La Palma,US,63.91,clear sky,33.8464,-118.0467,
326,Kanel,SN,79.32,overcast clouds,15.4916,-13.1763,
327,Nandura,IN,63.16,overcast clouds,20.8333,76.45,
328,Vestmanna,FO,38.32,overcast clouds,62.1564,-7.1664,
329,Erenhot,CN,16.79,clear sky,43.6475,111.9767,
330,Havoysund,NO,34.68,light rain,70.9963,24.6622,
331,Oltu,TR,35.4,clear sky,40.5498,42.0013,
332,Aki,JP,52.07,clear sky,33.5,133.9,
333,San Quintin,MX,58.01,clear sky,30.4833,-115.95,
334,Muri,IN,60.03,overcast clouds,23.3667,85.8667,
335,Hithadhoo,MV,80.85,scattered clouds,-0.6,73.0833,
336,Mar Del Plata,AR,66.22,clear sky,-38.0023,-57.5575,
337,Butembo,CD,59.18,overcast clouds,0.15,29.2833,
338,Kondinskoye,RU,12.16,overcast clouds,59.6481,67.41,
339,Mantua,IT,42.44,overcast clouds,45.1667,10.7833,
340,Kassala,SD,72.75,clear sky,15.450999999999999,36.4,
341,Hamilton,US,41.76,clear sky,39.1834,-84.5333,
342,Lancaster,US,40.32,clear sky,40.2504,-76.2499,
343,Manokwari,ID,83.23,overcast clouds,-0.8667,134.0833,
344,Batticaloa,LK,78.69,light rain,7.7102,81.6924,
345,Winnemucca,US,44.65,overcast clouds,40.973,-117.7357,
347,Hoquiam,US,41.02,few clouds,46.9809,-123.8893,
348,Barreiras,BR,71.92,overcast clouds,-12.1528,-44.99,
349,Sandwick,GB,49.82,overcast clouds,60.0,-1.25,
350,Narsaq,GL,17.82,scattered clouds,60.9167,-46.05,
351,San Angelo,US,57.88,clear sky,31.4638,-100.43700000000001,
352,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,
353,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,
354,Lamu,KE,82.62,light rain,-2.2717,40.902,
355,Tuatapere,NZ,64.81,broken clouds,-46.1333,167.6833,
356,Ancud,CL,52.43,overcast clouds,-41.8697,-73.8203,
358,Moerai,PF,78.35,light rain,-22.4333,-151.3333,
359,Nanlong,CN,47.21,scattered clouds,31.3533,106.0631,
360,Mumford,GH,80.13,scattered clouds,5.2618,-0.759,
361,Carutapera,BR,80.11,scattered clouds,-1.195,-46.02,
362,Saint-Augustin,CA,27.23,overcast clouds,51.226000000000006,-58.6502,
364,Atasu,KZ,13.05,overcast clouds,48.6814,71.6433,
365,Sinnamary,GF,77.02,moderate rain,5.3833,-52.95,
366,Porto Novo,BJ,79.36,few clouds,6.4965,2.6036,
368,Little Current,CA,41.41,scattered clouds,45.9793,-81.9248,
369,Guipavas,FR,51.96,overcast clouds,48.4352,-4.3972,
370,Baiyin,CN,25.7,clear sky,36.5583,104.2081,
371,Skjervoy,NO,35.04,light rain,70.0311,20.9714,
372,Saint George,US,47.95,clear sky,37.1041,-113.5841,
374,Maloy,NO,44.73,overcast clouds,61.9353,5.1136,
375,Antalaha,MG,72.07,light rain,-14.9003,50.2788,
376,Honiara,SB,85.17,overcast clouds,-9.4333,159.95,
377,Weyburn,CA,30.18,overcast clouds,49.6668,-103.8511,
378,Acajutla,SV,79.61,scattered clouds,13.5928,-89.8275,
381,Bogorodskoye,RU,24.1,overcast clouds,56.55,37.8833,
382,Harlingen,US,66.34,overcast clouds,26.1906,-97.6961,
383,Manthani,IN,61.79,overcast clouds,18.65,79.6667,
385,Corinto,GR,56.44,broken clouds,37.9407,22.9573,
386,Sobolevo,RU,31.53,overcast clouds,54.4299,31.8996,
387,Iqaluit,CA,4.69,overcast clouds,63.7506,-68.5145,
388,Port Augusta,AU,66.34,light rain,-32.5,137.7667,
389,Raton,US,47.19,clear sky,36.9034,-104.4391,
390,Chapleau,CA,33.03,few clouds,47.8405,-83.4034,
391,Richards Bay,ZA,75.09,overcast clouds,-28.783,32.0377,
392,Buala,SB,84.42,light rain,-8.145,159.5921,
393,Kahului,US,79.97,broken clouds,20.8947,-156.47,
394,Paita,PE,67.39,broken clouds,-5.0892,-81.1144,
395,Boyolangu,ID,82.04,broken clouds,-8.1181,111.8935,
396,Amalapuram,IN,77.38,overcast clouds,16.5833,82.0167,
397,Norrtalje,SE,33.08,scattered clouds,59.758,18.705,
398,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,
399,Dagana,MR,79.3,overcast clouds,16.5165,-15.5068,
400,Dabola,GN,71.87,scattered clouds,10.75,-11.1167,
401,Bulolo,PG,80.08,overcast clouds,-7.2,146.65,
402,Yulara,AU,88.36,few clouds,-25.2406,130.9889,
403,Manihari,IN,56.7,clear sky,25.35,87.6333,
404,Kudahuvadhoo,MV,79.54,overcast clouds,2.6708,72.8944,
405,Moron,AR,76.96,overcast clouds,-34.6534,-58.6198,
406,Mungwi,ZM,62.92,broken clouds,-10.1732,31.3694,
407,Shubarshi,KZ,14.47,clear sky,48.5872,57.1869,
408,Mabaruma,GY,72.84,overcast clouds,8.2,-59.7833,
409,Pershotravneve,UA,37.69,overcast clouds,51.3929,28.8684,
410,Nizwa,OM,59.7,clear sky,22.9333,57.5333,
411,Hambantota,LK,75.54,few clouds,6.1241,81.1185,
412,Shakawe,BW,69.78,overcast clouds,-18.3667,21.85,
414,Phan Thiet,VN,76.42,broken clouds,10.9333,108.1,
415,Herat,AF,36.64,clear sky,34.5,62.0,
416,Mandalgarh,IN,55.47,scattered clouds,25.2,75.1,
417,Harper,LR,79.63,few clouds,4.375,-7.7169,
419,Vigrestad,NO,45.0,overcast clouds,58.5667,5.7,
421,Naryan-Mar,RU,13.98,overcast clouds,67.6713,53.086999999999996,
422,Pauini,BR,75.04,overcast clouds,-7.7136,-66.9764,
423,Quelimane,MZ,78.58,few clouds,-17.8786,36.8883,
424,Oktyabrskiy,RU,9.37,few clouds,54.4815,53.471000000000004,
425,Lively,CA,39.02,few clouds,46.4334,-81.1498,
426,Atar,MR,69.51,overcast clouds,20.5169,-13.0499,
427,Luena,AO,64.06,moderate rain,-11.7833,19.9167,
428,Ararangua,BR,74.86,broken clouds,-28.9347,-49.4858,
429,Arroyo,ES,44.73,fog,41.6096,-4.7969,
430,Waipawa,NZ,65.93,overcast clouds,-41.4122,175.5153,
431,Namatanai,PG,86.88,overcast clouds,-3.6667,152.4333,
433,Powell River,CA,39.07,mist,49.8496,-124.5361,
434,Kortkeros,RU,1.4,scattered clouds,61.8106,51.5806,
435,Salinas,US,54.82,overcast clouds,36.6777,-121.6555,
436,Ler,SS,76.12,broken clouds,8.3018,30.1418,
437,Mastic Beach,US,46.44,clear sky,40.7668,-72.8521,
438,Roding,DE,38.05,light rain,49.1964,12.5186,
439,Kayes,ML,78.76,few clouds,14.0,-11.0,
440,Dhankuta,NP,45.9,clear sky,26.9833,87.3333,
441,Tarrafal,CV,74.19,overcast clouds,15.2833,-23.7667,
442,Evansville,US,43.2,clear sky,37.9748,-87.5558,
443,Lichtenburg,ZA,63.77,light rain,-26.151999999999997,26.1597,
444,Svetlyy,RU,30.25,overcast clouds,54.675,20.1347,
446,Mercedes,AR,66.88,light rain,-34.6515,-59.4307,
