City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
207,San Cristobal,7.7669,-72.225,64.98,93,88,3.29,VE,overcast clouds
208,Saint Anthony,45.0205,-93.218,33.82,73,75,1.99,US,broken clouds
209,Mineros,-17.1167,-63.2333,75.51,95,100,5.93,BO,overcast clouds
210,Ambon,-3.6954,128.1814,86.14,79,40,1.14,ID,scattered clouds
211,Coahuayana,18.7333,-103.6833,76.42,89,5,2.39,MX,clear sky
212,Utena,55.5,25.6,30.16,92,100,5.1,LT,overcast clouds
213,Nipawin,53.3668,-104.0009,19.44,93,90,6.91,CA,light snow
214,Ormara,25.2088,64.6357,69.58,49,7,7.18,PK,clear sky
215,Cidreira,-30.1811,-50.2056,71.55,91,1,13.87,BR,clear sky
216,Paamiut,61.994,-49.6678,11.46,79,11,10.09,GL,few clouds
217,Mezen,65.8522,44.24,12.13,93,100,8.55,RU,overcast clouds
218,Kariba,-16.5167,28.8,75.85,38,11,2.98,ZW,few clouds
219,Tornio,65.8481,24.1466,32.02,93,100,9.42,FI,overcast clouds
220,Bukama,-9.2,25.85,69.01,99,100,2.86,CD,overcast clouds
221,Gravdal,68.1214,13.5031,35.33,75,53,10.98,NO,broken clouds
222,Thompson,55.7435,-97.8558,-8.5,100,100,2.98,CA,overcast clouds
223,Price,39.5994,-110.8107,33.73,61,20,4.61,US,few clouds
224,Severo-Kurilsk,50.6789,156.125,34.05,82,38,7.47,RU,scattered clouds
225,Geraldton,-28.7667,114.6,73.13,46,0,6.91,AU,clear sky
226,Mayo,38.8876,-76.5119,44.1,55,0,6.42,US,clear sky
227,Koumac,-20.5667,164.2833,76.59,92,100,6.71,NC,moderate rain
228,Khani,41.9563,42.9566,42.37,42,76,7.81,GE,broken clouds
229,Sola,-13.8833,167.55,80.74,82,99,16.87,VU,light rain
230,Krasne,49.9145,24.6134,29.55,99,100,10.42,UA,light snow
231,Borovichi,58.3878,33.9155,33.15,98,100,9.55,RU,light snow
232,Griffith,41.5284,-87.4237,44.89,67,1,4.0,US,clear sky
233,Pevek,69.7008,170.3133,-32.91,97,10,2.62,RU,clear sky
234,Nelson Bay,-32.7167,152.15,77.29,60,15,4.0,AU,few clouds
235,Ballina,-28.8667,153.5667,73.78,75,67,12.93,AU,broken clouds
236,Poum,-20.2333,164.0167,78.13,89,100,13.69,NC,moderate rain
237,Camacha,33.0833,-16.3333,59.76,94,40,6.91,PT,scattered clouds
238,Warangal,18.0,79.5833,63.48,60,22,6.24,IN,few clouds
239,Khandyga,62.6667,135.6,-41.82,100,86,1.16,RU,overcast clouds
240,Toora-Khem,52.4675,96.11,1.09,96,99,1.54,RU,overcast clouds
241,Gamba,-2.65,10.0,75.31,94,100,2.15,GA,light rain
242,Maracacume,-2.0428,-45.9592,77.09,85,20,4.63,BR,few clouds
243,Kapit,2.0167,112.9333,79.11,89,85,1.86,MY,overcast clouds
244,Vammala,61.3333,22.9,28.29,99,100,2.46,FI,overcast clouds
245,Chippewa Falls,44.9369,-91.3929,34.74,75,100,6.58,US,overcast clouds
